Common latitude,Authalic (mpmath),Authalic (old code),Authalic (new code),Diff. (old - new) E-10,Diff. (new - mpmath) E-10,Diff. (old - mpmath)E-10,Authalic inverse (old code),Authalic inverse (new code),Diff. (auth_inv_new - common)E-10,Diff. (auth_inv_old - common)E-10
55.9,55.78079366566971434700132563312063996626605171240211053344713631105078,55.78079366566966,55.78079366566971,-0.0005000000000000000000000000000000000000000000000000000000027149488200281,-0.00004347001325633120639966266051712402110533447136311050780851377408353895,-0.000543470013256331206399662660517124021105334471363110507811228722903567,55.899999998041196,55.900000000000006,0.00005999999999999999999999999999999999999999999999999999999568928617004409,-19.58804000000000000000000000000000000000000000000000000000000420230605
56.0,55.88096008858189179341822277628186819302063275954180137835680745821911,55.880960088581894,55.880960088581894,0.0,0.00002206581777223718131806979367240458198621643192541780893203150640101956,0.00002206581777223718131806979367240458198621643192541780893203150640101956,55.99999999805494,56.0,0.0,-19.45060000000000000000000000000000000000000000000000000000000091753146
56.1,55.98112796505212440065804384375786792266629796083182453244345344054886,55.98112796505216,55.98112796505213,0.0002999999999999999999999999999999999999999999999999999999958333346815677,0.00005599341956156242132077333702039168175467556546559451136426011697029992,0.0003559934195615624213207733370203916817546755654655945113600934516518677,56.09999999806852,56.099999999999994,-0.00005999999999999999999999999999999999999999999999999999999568928617004409,-19.31479999999999999999999999999999999999999999999999999999999958302747
56.2,56.08129729305736378685716612139743249719901620408673679650614122466247,56.081297293057375,56.08129729305737,0.00005000000000000000000000000000000000000000000000000000000027149488200281,0.00006213142833878602567502800983795913263203493858775337528397179206450916,0.000112131428338786025675028009837959132632034938587753375284243286946512,56.199999998081935,56.19999999999999,-0.0001000000000000000000000000000000000000000000000000000000005429897640056,-19.18065000000000000000000000000000000000000000000000000000000141221997
56.3,56.18146807055672351797133266339435102931789905879823897036487538862352,56.18146807055671,56.181468070556726,-0.0001599999999999999999999999999999999999999999999999999999962322759340497,0.00002482028667336605648970682100941201761029635124611376483531873619693796,-0.0001351797133266339435102931789905879823897036487538862351609135397371117,56.2999999980952,56.3,0.0,-19.04799999999999999999999999999999999999999999999999999999999979498971
56.4,56.28164029549150287900975032281891456341495392820837168266116901156796,56.28164029549151,56.28164029549151,0.0,0.00007120990249677181085436585046071791628317338830988432044259324746416501,0.00007120990249677181085436585046071791628317338830988432044259324746416501,56.39999999810832,56.39999999999999,-0.0001000000000000000000000000000000000000000000000000000000005429897640056,-18.91680000000000000000000000000000000000000000000000000000000025547642
56.5,56.38181396578521086973263481018314719949350237328780717682162751375339,56.381813965785234,56.381813965785206,0.0002800000000000000000000000000000000000000000000000000000049977521054852,-0.00004869732634810183147199493502373287807176821627513753388903121220409472,0.0002313026736518981685280050649762671219282317837248624661159665399013905,56.49999999812128,56.50000000000001,0.0001000000000000000000000000000000000000000000000000000000005429897640056,-18.78719999999999999999999999999999999999999999999999999999999781253014
56.6,56.48198907934359042457381902242325545172963621481044209789207681059684,56.48198907934359,56.48198907934359,0.0,-0.000004245738190224232554517296362148104420978920768105968354741814855910442,-0.000004245738190224232554517296362148104420978920768105968354741814855910442,56.59999999813409,56.6,0.0,-18.6590999999999999999999999999999999999999999999999999999999977187957
56.7,56.58216563405464285654694952911728011855189626300106493719529711089737,56.58216563405464,56.58216563405465,-0.0001000000000000000000000000000000000000000000000000000000005429897640056,0.00007143453050470882719881448103736998935062804702889102634901549519420253,-0.00002856546949529117280118551896263001064937195297110897365152749456980309,56.69999999814675,56.69999999999999,-0.0001000000000000000000000000000000000000000000000000000000005429897640056,-18.53249999999999999999999999999999999999999999999999999999999997427311
56.8,56.68234362778865252489070497354168134237531493830564223750676052538278,56.682343627788605,56.682343627788654,-0.0004900000000000000000000000000000000000000000000000000000015015229215377,0.00001475109295026458318657624685061694357762493239474617223860176720929181,-0.0004752489070497354168134237531493830564223750676052538277628997557122459,56.799999998159265,56.8,0.0,-18.40734999999999999999999999999999999999999999999999999999999851183288
56.9,56.78252305839821172620537929815224816308661707419756896867916986408255,56.7825230583982,56.782523058398205,-0.00005000000000000000000000000000000000000000000000000000000027149488200281,-0.00006726205379298152248163086617074197568968679169864082545805607745634234,-0.0001172620537929815224816308661707419756896867916986408254583275723383451,56.89999999817164,56.9,0.0,-18.28360000000000000000000000000000000000000000000000000000000465124935
57.0,56.88270392371824580883008219223627521507324789975414670461557429328742,56.88270392371822,56.88270392371825,-0.0003000000000000000000000000000000000000000000000000000000016289692920168,0.00004191169917807763724784926752100245853295384425706712581384249892518807,-0.0002580883008219223627521507324789975414670461557429328741877864703668288,56.99999999818386,56.999999999999986,-0.000139999999999999999999999999999999999999999999999999999999601058747518,-18.16140000000000000000000000000000000000000000000000000000000182010332
57.1,56.98288622156603851020671903894622383469362993586249319808957122836966,56.98288622156603,56.98288622156605,-0.0002000000000000000000000000000000000000000000000000000000010859795280112,0.0001148979328096105377616530637006413750680191042877163033687339362759017,-0.00008510206719038946223834693629935862493198089571228369663235204325210953,57.09999999819595,57.1,0.0,-18.04050000000000000000000000000000000000000000000000000000000025218962
57.2,57.08306994974125751697382296494829989862106842139464356402726458438431,57.08306994974128,57.083069949741265,0.0001500000000000000000000000000000000000000000000000000000008144846460084,0.00007483026177035051700101378931578605356435972735415615689670917109725992,0.0002248302617703505170010137893157860535643597273541561568975236557432683,57.19999999820788,57.199999999999996,-0.00003999999999999999999999999999999999999999999999999999999905806898351243,-17.92120000000000000000000000000000000000000000000000000000000157647753
57.3,57.18325510602598024753022242389565675566836187324717169899201748581873,57.183255106025975,57.18325510602598,-0.00005000000000000000000000000000000000000000000000000000000027149488200281,-0.000002475302224238956567556683618732471716989920174858187261958833495044139,-0.00005247530222423895656755668361873247171698992017485818726223032837704694,57.29999999821969,57.3,0.0,-17.80309999999999999999999999999999999999999999999999999999999782537339
57.4,57.2834416881847198568054391303918016271562324332174083173958906598987,57.283441688184695,57.28344168818473,-0.0003500000000000000000000000000000000000000000000000000000019004641740196,0.0001014319456086960819837284376756678259168260410934010129671442161511503,-0.0002485680543913039180162715623243321740831739589065989870347562480228693,57.39999999823135,57.39999999999999,-0.0001000000000000000000000000000000000000000000000000000000005429897640056,-17.68650000000000000000000000000000000000000000000000000000000221911571
57.5,57.38362969396445146297062315970369260727312570690576921812661305229946,57.38362969396448,57.38362969396446,0.0002000000000000000000000000000000000000000000000000000000010859795280112,0.00008537029376840296307392726874293094230781873386947700535385816049398964,0.0002853702937684029630739272687429309423078187338694770053549441400220009,57.49999999824287,57.499999999999986,-0.000139999999999999999999999999999999999999999999999999999999601058747518,-17.57130000000000000000000000000000000000000000000000000000000262344551
57.6,57.48381912109463859582074469600480719631152337478557341678121910375439,57.48381912109463,57.48381912109464,-0.0001000000000000000000000000000000000000000000000000000000005429897640056,0.00001404179255303995192803688476625214426583218780896245614703193018089721,-0.0000859582074469600480719631152337478557341678121910375438535110595831084,57.59999999825426,57.60000000000001,0.0001000000000000000000000000000000000000000000000000000000005429897640056,-17.45739999999999999999999999999999999999999999999999999999999849537301
57.7,57.58400996728725986655567530429387013635043098941724766245274279115512,57.584009967287265,57.58400996728725,0.0001499999999999999999999999999999999999999999999999999999950188500355593,-0.00009866555675304293870136350430989417247662452742791155120497473894799298,0.00005133444324695706129863649569010582752337547257208844879004411108756634,57.69999999826552,57.699999999999996,-0.00003999999999999999999999999999999999999999999999999999999905806898351243,-17.34480000000000000000000000000000000000000000000000000000000142616745
