Common latitude,Authalic (mpmath),Authalic (old code),Authalic (new code),Diff. (old - new) E10,Diff. (new - mpmath) E10,Diff. (old - mpmath)E10
-87.3,-87.28790324171738493295995291533041442097485250837118774527660707113493,-87.2879032417166,-87.2879032417174,0.008000000000000000000000000000000000000000000000000000000008665373457754,-0.000150670400470846695855790251474916288122547233929288650737615531812283,0.007849329599529153304144209748525083711877452766070711349271049841645471
-87.2,-87.18745662359193916925132197892921414594141799380664948013486152067936,-87.18745662359208,-87.18745662359194,-0.00139999999999999999999999999999999999999999999999999999999601058747518,-0.000008307486780210707858540585820061933505198651384793206370375269943641016,-0.001408307486780210707858540585820061933505198651384793206366385857418821
-87.1,-87.08701015917454408426153419183111045832501407930144087528460291625341,-87.08701015917403,-87.08701015917453,0.004999999999999999999999999999999999999999999999999999999992375680537586,0.0001408426153419183111045832501407930144087528460291625341011720605054533,0.005140842615341918311104583250140793014408752846029162534093547741043039
-87.0,-86.98656385393594154323086831894659520584560743594173408174590898313607,-86.9865638539359,-86.98656385393593,0.0003000000000000000000000000000000000000000000000000000000016289692920168,0.0001154323086831894659520584560743594173408174590898313607511027272912661,0.000415432308683189465952058456074359417340817459089831360752731696583283
-86.9,-86.88611771334484683687419375833604260296851563752801236417608492579877,-86.88611771334432,-86.88611771334485,0.005299999999999999999999999999999999999999999999999999999994004649829603,-0.00003163125806241663957397031484362471987635823915074201225059414337487832,0.005268368741937583360426029685156375280123641760849257987743410506454725
-86.8,-86.78567174286792336748924518332088367100102376046629056267326070704758,-86.78567174286792,-86.78567174286793,0.0001000000000000000000000000000000000000000000000000000000005429897640056,-0.00006632510754816679116328998976239533709437326739292952420420751117685166,0.00003367489245183320883671001023760466290562673260707047579633547858715395
-86.7,-86.68522594796975736190314260527112966989753581638778189164764559156881,-86.68522594796964,-86.68522594796976,0.001199999999999999999999999999999999999999999999999999999994924607947169,-0.00002638096857394728870330102464183612218108352354408431190877960755376807,0.001173619031426052711296698975358163877818916476455915688086145000393401
-86.6,-86.58478033411268987044088434356920895770843314088887060357738539975128,-86.58478033411241,-86.5847803341127,0.002899999999999999999999999999999999999999999999999999999992564164714366,-0.0001012955911565643079104229156685911112939642261460024871553597916793175,0.002798704408843435692089577084331408888706035773853997512837204373035049
-86.5,-86.48433490675686290815881126092209825987723004720192273532367457113542,-86.48433490675691,-86.48433490675687,-0.0004000000000000000000000000000000000000000000000000000000021719590560224,-0.00007091841188739077901740122769952798077264676325428864576845757568068388,-0.0004709184118873907790174012276995279807726467632542886457706295347367063
-86.4,-86.38388967136005151307790717758654604575115435941901012721128973331595,-86.3838896713603,-86.38388967136004,-0.00259999999999999999999999999999999999999999999999999999999093519542235,0.0001151307790717758654604575115435941901012721128973331595329348415912124,-0.002484869220928224134539542488456405809898727887102666840458000353831137
-86.3,-86.28344463337763857727886720622798176298973633193556214685994667185665,-86.28344463337756,-86.28344463337763,0.0007000000000000000000000000000000000000000000000000000000038009283480393,0.00008577278867206227981762989736331935562146859946671856653404431957336526,0.0007857727886720622798176298973633193556214685994667185665378452479214045
-86.2,-86.18299979826258970928059933554893678068572935180463168852864149828852,-86.18299979826224,-86.1829997982626,0.003599999999999999999999999999999999999999999999999999999996365093062406,-0.0001029071940066445106321931427064819536831147135850171147789865195322149,0.003497092805993355489367806857293518046316885286414982885217378573530191
-86.1,-86.08255517146528538830561375210898395958051326949083599715502223664233,-86.08255517146495,-86.08255517146529,0.003400000000000000000000000000000000000000000000000000000006870382755293,-0.00004611694386247891016040419486730509164002844977763357669821299298548839,0.003353883056137521089839595805132694908359971550222366423308657389769804
-86.0,-85.98211075843356726329202115741542078483458767887360382398533833656238,-85.98211075843341,-85.98211075843356,0.001499999999999999999999999999999999999999999999999999999996553577239186,0.00007263292021157415420784834587678873603823985338336562381251558088203674,0.001572632920211574154207848345876788736038239853383365623809069158121223
