Common latitude,Authalic (direct mpmath),Authalic (OLD),Authalic (NEW),Diff (auth OLD - auth NEW) E-12,Diff (auth OLD - auth direct mpmath) E-12,Diff (auth NEW - auth direct mpmath) E-12,Authalic inverse (OLD),Authalic inverse (NEW),Diff (auth inv OLD - auth inv NEW) E-12,Diff (auth inv OLD - common) E-12,Diff (auth inv NEW - common) E-12
73.0,72.92814373247890796824129222540798205510094803952325608942053309579695,72.9281437324788,72.92814373247892,-0.1200000000000000000000000000000000000000000000000000000006515877168067,-0.1079682412922254079820551009480395232560894205330957969507229100528106,0.01203175870777459201794489905196047674391057946690420304992867766399617,72.99999999918818,72.99999999999999,-811.8099999999999999999999999999999999999999999999999999999998855184664,-811.8199999999999999999999999999999999999999999999999999999999398174428,-0.01000000000000000000000000000000000000000000000000000000005429897640056
73.1,73.02851576836164373425996085779567817704071834820889138105078094138262,73.02851576836154,73.02851576836163,-0.09000000000000000000000000000000000000000000000000000000048869078760505,-0.1037342599608577956781770407183482088913810507809413826207857002517474,-0.01373425996085779567817704071834820889138105078094138262029700946414236,73.09999999919258,73.10000000000001,-807.4299999999999999999999999999999999999999999999999999999992851052447,-807.4199999999999999999999999999999999999999999999999999999992308062683,0.01000000000000000000000000000000000000000000000000000000005429897640056
73.2,73.12888867939732166663597915999133425545302078279610932077209252830961,73.12888867939722,73.12888867939733,-0.1100000000000000000000000000000000000000000000000000000005972887404062,-0.1016666359791599913342554530207827961093207720925283096106942159627418,0.008333364020840008665744546979217203890679227907471690389903072777664364,73.19999999919696,73.2,-803.0399999999999999999999999999999999999999999999999999999997895199688,-803.0399999999999999999999999999999999999999999999999999999997895199688,0.0
73.3,73.22926246103019436730549454842865850892388900285219525293649763632249,73.22926246103015,73.22926246103019,-0.04000000000000000000000000000000000000000000000000000000021719590560224,-0.04436730549454842865850892388900285219525293649763632249100233406828698,-0.004367305494548428658508923889002852195252936497636322490785138162684738,73.29999999920136,73.3,-798.6400000000000000000000000000000000000000000000000000000002396357164,-798.6400000000000000000000000000000000000000000000000000000002396357164,0.0
73.4,73.32963710869370442468804663543111608776807885176073861759149721126641,73.32963710869359,73.32963710869372,-0.1299999999999999999999999999999999999999999999999999999995467597711175,-0.1144246880466354311160877680788517607386175914972112664095185646470567,0.01557531195336456888391223192114823926138240850278873359002819512406075,73.39999999920576,73.4,-794.240000000000000000000000000000000000000000000000000000000689751464,-794.240000000000000000000000000000000000000000000000000000000689751464,0.0
73.5,73.43001261781054064602268195561912985385370217435117918775770235148308,73.43001261781039,73.43001261781056,-0.1700000000000000000000000000000000000000000000000000000009230825988095,-0.1506460226819556191298538537021743511791877577023514830802504787804855,0.01935397731804438087014614629782564882081224229764851692067260381832402,73.49999999921017,73.5,-789.8299999999999999999999999999999999999999999999999999999999264413132,-789.8299999999999999999999999999999999999999999999999999999999264413132,0.0
73.6,73.53038898379269443064963228793298885039315498732646082876248234563206,73.53038898379259,73.53038898379269,-0.09999999999999999999999999999999999999999999999999999999938386284191579,-0.1044306496322879329888503931549873264608287624823456320595278759294606,-0.004430649632287932988850393154987326460828762482345632060144013087544782,73.59999999921459,73.6,-785.410000000000000000000000000000000000000000000000000000000267959108,-785.410000000000000000000000000000000000000000000000000000000267959108,0.0
73.7,73.6307662020415162835215951929665629226603998492643615592315207987857,73.6307662020414,73.63076620204154,-0.139999999999999999999999999999999999999999999999999999999601058747518,-0.1162835215951929665629226603998492643615592315207987857004936208773892,0.02371647840480703343707733960015073563844076847920121429910743787012882,73.699999999219,73.7,-780.9999999999999999999999999999999999999999999999999999999995046489572,-780.9999999999999999999999999999999999999999999999999999999995046489572,0.0
73.8,73.73114426794777246822645447831571103823468597179992296071997076418055,73.73114426794766,73.73114426794777,-0.1099999999999999999999999999999999999999999999999999999994381618183164,-0.112468226454478315711038234685971799922960719970764180550165536315362,-0.002468226454478315711038234685971799922960719970764180550727374497045683,73.79999999922345,73.8,-776.5500000000000000000000000000000000000000000000000000000008423967449,-776.5500000000000000000000000000000000000000000000000000000008423967449,0.0
73.9,73.83152317689170179880108756949359163690255874226836889921899310449886,73.83152317689161,73.83152317689171,-0.09999999999999999999999999999999999999999999999999999999938386284191579,-0.09179880108756949359163690255874226836889921899310449886036027235420044,0.008201198912430506408363097441257731631100781006895501139023590487715355,73.89999999922786,73.9,-772.1400000000000000000000000000000000000000000000000000000000790865941,-772.1400000000000000000000000000000000000000000000000000000000790865941,0.0
74.0,73.93190292424307256961372625243159894894890546079409258535935325518266,73.93190292424302,73.93190292424308,-0.06000000000000000000000000000000000000000000000000000000032579385840337,-0.05256961372625243159894894890546079409258535935325518266017207775615737,0.007430386273747568401051051094539205907414640646744817340153716102245994,73.9999999992323,74.0,-767.7000000000000000000000000000000000000000000000000000000003120064361,-767.7000000000000000000000000000000000000000000000000000000003120064361,0.0
74.1,74.03228350536123962259016701725514149778121418982740050607304324657633,74.03228350536111,74.03228350536125,-0.139999999999999999999999999999999999999999999999999999999601058747518,-0.1296225901670172551414977812141898274005060730432465763305656488209435,0.01037740983298274485850221878581017259949392695675342366903540992657454,74.09999999923673,74.09999999999998,-763.2499999999999999999999999999999999999999999999999999999993315003796,-763.2699999999999999999999999999999999999999999999999999999994400983324,-0.02000000000000000000000000000000000000000000000000000000010859795280112
74.2,74.13266491559520155105696732328887041779101799544688519819527184216798,74.13266491559516,74.1326649155952,-0.04000000000000000000000000000000000000000000000000000000021719590560224,-0.04155105696732328887041779101799544688519819527184216797961969740317373,-0.001551056967323288870417791017995446885198195271842167979402501497571487,74.19999999924119,74.2,-758.8099999999999999999999999999999999999999999999999999999995644202217,-758.8099999999999999999999999999999999999999999999999999999995644202217,0.0
74.3,74.23304715028365803947261457330034629964043481598269130307876677410214,74.2330471502835,74.23304715028365,-0.1500000000000000000000000000000000000000000000000000000008144846460084,-0.1580394726145733003462996404348159826913030787667741021411028175050205,-0.008039472614573300346299640434815982691303078766774102140288332859012126,74.29999999924561,74.3,-754.3899999999999999999999999999999999999999999999999999999999059380165,-754.3899999999999999999999999999999999999999999999999999999999059380165,0.0
74.4,74.33343020475506733831551548182979565976377369544237327584109327255324,74.33343020475508,74.33343020475508,0.0,0.0126616844845181702043402362263045576267241589067274467597944744003591,0.0126616844845181702043402362263045576267241589067274467597944744003591,74.39999999925008,74.39999999999999,-749.9099999999999999999999999999999999999999999999999999999999216619529,-749.9199999999999999999999999999999999999999999999999999999999759609293,-0.01000000000000000000000000000000000000000000000000000000005429897640056
74.5,74.43381407432770387339552489887108333455062509309389184284862898397004,74.43381407432763,74.4338140743277,-0.06999999999999999999999999999999999999999999999999999999922096591271411,-0.07387339552489887108333455062509309389184284862898397003935104894722129,-0.00387339552489887108333455062509309389184284862898397004013008303450718,74.49999999925456,74.5,-745.4399999999999999999999999999999999999999999999999999999999916848658,-745.4399999999999999999999999999999999999999999999999999999999916848658,0.0
74.6,74.53419875430971598885361505675713111273581678402761338730008760419614,74.53419875430959,74.5341987543097,-0.1099999999999999999999999999999999999999999999999999999994381618183164,-0.125988853615056757131112735816784027613387300087604196140379572713457,-0.01598885361505675713111273581678402761338730008760419614094141089514068,74.59999999925903,74.60000000000001,-740.980000000000000000000000000000000000000000000000000000000116006755,-740.9700000000000000000000000000000000000000000000000000000000617077786,0.01000000000000000000000000000000000000000000000000000000005429897640056
74.7,74.63458423999918382311217869524889673191752916437392683900370543805093,74.63458423999913,74.63458423999919,-0.06000000000000000000000000000000000000000000000000000000032579385840337,-0.05382311217869524889673191752916437392683900370543805093085382788157745,0.006176887821304751103268082470835626073160996294561949069471965976825913,74.6999999992635,74.7,-736.4999999999999999999999999999999999999999999999999999999989726037694,-736.4999999999999999999999999999999999999999999999999999999989726037694,0.0
74.8,74.73497052668417731703636263771123352450587055348798683358290993629906,74.73497052668417,74.73497052668418,-0.01000000000000000000000000000000000000000000000000000000005429897640056,-0.007317036362637711233524505870553487986833582909936299059466508135404799,0.002682963637362288766475494129446512013166417090063700940587790840995762,74.79999999926798,74.79999999999998,-732.0000000000000000000000000000000000000000000000000000000000388566751,-732.0200000000000000000000000000000000000000000000000000000001474546279,-0.02000000000000000000000000000000000000000000000000000000010859795280112
74.9,74.83535760964281435356474218985347630454057025134699215572163372629084,74.83535760964283,74.83535760964281,0.02000000000000000000000000000000000000000000000000000000010859795280112,0.01564643525781014652369545942974865300784427836627370915990094889515732,-0.004353564742189853476304540570251346992155721633726290840207649057643802,74.89999999927248,74.89999999999999,-727.5100000000000000000000000000000000000000000000000000000000002816351,-727.5200000000000000000000000000000000000000000000000000000000545806115,-0.01000000000000000000000000000000000000000000000000000000005429897640056
75.0,74.93574548414331902806557126157896352561089185231729716711550746617018,74.93574548414328,74.93574548414333,-0.05000000000000000000000000000000000000000000000000000000027149488200281,-0.03902806557126157896352561089185231729716711550746617017990231564202495,0.01097193442873842103647438910814768270283288449253382982036917923997785,74.99999999927697,75.00000000000001,-723.040000000000000000000000000000000000000000000000000000000070304548,-723.0300000000000000000000000000000000000000000000000000000000160055716,0.01000000000000000000000000000000000000000000000000000000005429897640056
75.1,75.03613414544408004867277842157502776015806540440010138572927277776495,75.03613414544401,75.03613414544408,-0.07000000000000000000000000000000000000000000000000000000038009283480393,-0.07004867277842157502776015806540440010138572927277776494978264178892842,-0.00004867277842157502776015806540440010138572927277776494940254895412448815,75.09999999928145,75.10000000000001,-718.5600000000000000000000000000000000000000000000000000000000860284844,-718.550000000000000000000000000000000000000000000000000000000031729508,0.01000000000000000000000000000000000000000000000000000000005429897640056
75.2,75.13652358879370926585382523271806478486192046314269455943582497124367,75.13652358879365,75.13652358879371,-0.05999999999999999999999999999999999999999999999999999999916666693631355,-0.05926585382523271806478486192046314269455943582497124366977324782061889,0.0007341461747672819352151380795368573054405641750287563293934191156946581,75.19999999928595,75.2,-714.0499999999999999999999999999999999999999999999999999999999388554916,-714.0499999999999999999999999999999999999999999999999999999999388554916,0.0
75.3,75.23691380943110033045950023328569309284611271784972766460127588263162,75.2369138094309,75.2369138094311,-0.1999999999999999999999999999999999999999999999999999999999268526059214,-0.2003304595002332856930928461127178497276646012758826316197465851848678,-0.00033045950023328569309284611271784972766460127588263161981973257894642,75.29999999929046,75.3,-709.5400000000000000000000000000000000000000000000000000000009508094209,-709.5400000000000000000000000000000000000000000000000000000009508094209,0.0
75.4,75.3373048025854874795036898732601709520004188078725431237602616601863,75.33730480258546,75.33730480258549,-0.02999999999999999999999999999999999999999999999999999999900377000711186,-0.027479503689873260170952000418807872543123760261660186298936664817517,0.002520496310126739829047999581192127456876239738339813700067105189594867,75.39999999929499,75.4,-705.0100000000000000000000000000000000000000000000000000000006950384754,-705.0100000000000000000000000000000000000000000000000000000006950384754,0.0
75.5,75.43769656347650444891914663535454269592527379523726460748653311077375,75.43769656347636,75.4376965634765,-0.139999999999999999999999999999999999999999999999999999999601058747518,-0.1444489191466353545426959252737952372646074865331107737500841314216655,-0.004448919146635354542695925273795237264607486533110773750483072674147496,75.49999999929952,75.5,-700.4800000000000000000000000000000000000000000000000000000004392675298,-700.4800000000000000000000000000000000000000000000000000000004392675298,0.0
75.6,75.53808908731424351253326451525390884629951851794170303811005956143318,75.53808908731415,75.53808908731423,-0.07999999999999999999999999999999999999999999999999999999927526488911467,-0.09351253326451525390884629951851794170303811005956143317921569345862193,-0.01351253326451525390884629951851794170303811005956143317994042856950726,75.59999999930405,75.6,-695.9500000000000000000000000000000000000000000000000000000001834965842,-695.9500000000000000000000000000000000000000000000000000000001834965842,0.0
75.7,75.63848236929931464650587305317341404983826550199921572699534590180369,75.63848236929923,75.63848236929933,-0.09999999999999999999999999999999999999999999999999999999938386284191579,-0.08464650587305317341404983826550199921572699534590180368982000485070166,0.01535349412694682658595016173449800078427300465409819630956385799121413,75.69999999930857,75.7,-691.4299999999999999999999999999999999999999999999999999999999820246151,-691.4299999999999999999999999999999999999999999999999999999999820246151,0.0
75.8,75.7388764046229048184690732472009923833519412504056230923272774213096,75.7388764046228,75.73887640462289,-0.08999999999999999999999999999999999999999999999999999999932956386551523,-0.1048184690732472009923833519412504056230923272774213095998427873378803,-0.01481846907324720099238335194125040562309232727742130960051322347236507,75.79999999931313,75.8,-686.8700000000000000000000000000000000000000000000000000000007224836624,-686.8700000000000000000000000000000000000000000000000000000007224836624,0.0
75.9,75.83927118846683740060716198579801233100955052524045892580119005417005,75.8392711884667,75.83927118846685,-0.1500000000000000000000000000000000000000000000000000000008144846460084,-0.1374006071619857980123310095505252404589258011900541700506072518549241,0.01259939283801420198766899044947475954107419880994582995020723279108427,75.89999999931767,75.9,-682.3300000000000000000000000000000000000000000000000000000004124137404,-682.3300000000000000000000000000000000000000000000000000000004124137404,0.0
76.0,75.93966671600363170591272615982671289441056097627282750232004280949908,75.93966671600353,75.93966671600361,-0.08000000000000000000000000000000000000000000000000000000043439181120449,-0.1017059127261598267128944105609762728275023200428094990806333965234634,-0.02170591272615982671289441056097627282750232004280949908019900471225892,75.99999999932224,76.0,-677.7599999999999999999999999999999999999999999999999999999999394468893,-677.7599999999999999999999999999999999999999999999999999999999394468893,0.0
76.1,76.0400629823965626468530334008804296244113749277855241641700126258123,76.04006298239646,76.04006298239655,-0.09000000000000000000000000000000000000000000000000000000048869078760505,-0.1026468530334008804296244113749277855241641700126258122997797013753477,-0.01264685303340088042962441137492778552416417001262581229929101058774268,76.0999999993268,76.1,-673.1999999999999999999999999999999999999999999999999999999995207790145,-673.1999999999999999999999999999999999999999999999999999999995207790145,0.0
76.2,76.14045998279972051567890348959866093670116794753618402132137877085413,76.14045998279951,76.14045998279973,-0.2200000000000000000000000000000000000000000000000000000000354505587225,-0.210515678903489598660936701167947536184021321378770854130207913975551,0.009484321096510401339063298832052463815978678621229145869827536583171487,76.19999999933137,76.2,-668.6299999999999999999999999999999999999999999999999999999990478121633,-668.6299999999999999999999999999999999999999999999999999999990478121633,0.0
76.3,76.24085771235807088560631293190664059476393733849302629730090909840847,76.24085771235798,76.24085771235806,-0.08000000000000000000000000000000000000000000000000000000043439181120449,-0.09088560631293190664059476393733849302629730090909840846985899102482206,-0.01088560631293190664059476393733849302629730090909840846942459921361757,76.29999999933594,76.29999999999998,-664.0400000000000000000000000000000000000000000000000000000007845012035,-664.0600000000000000000000000000000000000000000000000000000008930991563,-0.02000000000000000000000000000000000000000000000000000000010859795280112
76.4,76.34125616620751463209906505934408202980662564633792291989632886096908,76.34125616620737,76.34125616620753,-0.1599999999999999999999999999999999999999999999999999999997096567003192,-0.1446320990650593440820298066256463379229198963288609690800689015007394,0.01536790093494065591797019337435366207708010367113903091964075519957975,76.39999999934052,76.4,-659.4800000000000000000000000000000000000000000000000000000003658333288,-659.4800000000000000000000000000000000000000000000000000000003658333288,0.0
76.5,76.44165533947494807347894931821733988150391863203550478897166393977511,76.44165533947496,76.44165533947495,0.01000000000000000000000000000000000000000000000000000000005429897640056,0.01192652105068178266011849608136796449521102833606022489034044068899608,0.001926521050681782660118496081367964495211028336060224890286141712595523,76.49999999934512,76.5,-654.8799999999999999999999999999999999999999999999999999999997299695484,-654.8799999999999999999999999999999999999999999999999999999997299695484,0.0
76.6,76.54205522727832323008791621736014738918522781760341980648374989864379,76.54205522727833,76.54205522727833,0.0,0.006769912083782639852610814772182396580193516250101356209651619777161648,0.006769912083782639852610814772182396580193516250101356209651619777161648,76.5999999993497,76.6,-650.2999999999999999999999999999999999999999999999999999999992027037208,-650.2999999999999999999999999999999999999999999999999999999992027037208,0.0
