Common latitude,Authalic (direct mpmath),Authalic (OLD),Authalic (NEW),Authalic (Clenshaw),Diff (auth OLD - auth NEW) E-12,Diff (auth OLD - auth direct mpmath) E-12,Diff (auth NEW - auth direct mpmath) E-12,Diff (auth Clenshaw - auth direct mpmath) E-12,Authalic inverse (OLD),Authalic inverse (NEW),Diff (auth inv OLD - auth inv NEW) E-12,Diff (auth inv OLD - common) E-12,Diff (auth inv NEW - common) E-12
-75.7,-75.63848236899569563718741401859194678296764435929433272077844474614823,-75.6384823689957,-75.63848236899571,-75.63848236899571,0.01000000000000000000000000000000000000000000000000000000005429897640056,-0.004362812585981408053217032355640705667279221555253851769770024216901936,-0.0143628125859814080532170323556407056672792215552538517698243231933025,-0.0143628125859814080532170323556407056672792215552538517698243231933025,-75.69999999930859,-75.7,691.4099999999999999999999999999999999999999999999999999999998734266623,691.4099999999999999999999999999999999999999999999999999999998734266623,0.0
-75.6,-75.5380890870086844461489292112000859549588867739325092935472504366354,-75.53808908700857,-75.53808908700867,-75.53808908700867,0.1000000000000000000000000000000000000000000000000000000005429897640056,0.1144461489292112000859549588867739325092935472504366354001104739499114,0.01444614892921120008595495888677393250929354725043663539956748418590583,0.01444614892921120008595495888677393250929354725043663539956748418590583,-75.59999999930405,-75.60000000000001,695.9600000000000000000000000000000000000000000000000000000002377955606,695.9500000000000000000000000000000000000000000000000000000001834965842,-0.01000000000000000000000000000000000000000000000000000000005429897640056
-75.5,-75.43769656316900908595288167929386733470991402688260181443580413697801,-75.43769656316896,-75.43769656316901,-75.43769656316901,0.05000000000000000000000000000000000000000000000000000000027149488200281,0.0490859528816792938673347099140268826018144358041369780095519733326022,-0.0009140471183207061326652900859731173981855641958630219907195215494006101,-0.0009140471183207061326652900859731173981855641958630219907195215494006101,-75.49999999929952,-75.5,700.4800000000000000000000000000000000000000000000000000000004392675298,700.4800000000000000000000000000000000000000000000000000000004392675298,0.0
-75.4,-75.3373048022760596041963326457940460962885410424473510239265845999963,-75.33730480227595,-75.33730480227607,-75.33730480227607,0.1200000000000000000000000000000000000000000000000000000006515877168067,0.1096041963326457940460962885410424473510239265845999963003631976099655,-0.01039580366735420595390371145895755264897607341540000370028839010684128,-0.01039580366735420595390371145895755264897607341540000370028839010684128,-75.39999999929499,-75.40000000000002,705.0300000000000000000000000000000000000000000000000000000008036364282,705.0100000000000000000000000000000000000000000000000000000006950384754,-0.02000000000000000000000000000000000000000000000000000000010859795280112
-75.3,-75.23691380911974375076082812010012288203489699179169229667587965687827,-75.2369138091196,-75.23691380911974,-75.23691380911974,0.1400000000000000000000000000000000000000000000000000000007601856696079,0.1437507608281201001228820348969917916922966758796568782701063637711023,0.003750760828120100122882034896991791692296675879656878269346178101494437,0.003750760828120100122882034896991791692296675879656878269346178101494437,-75.29999999929046,-75.3,709.5400000000000000000000000000000000000000000000000000000009508094209,709.5400000000000000000000000000000000000000000000000000000009508094209,0.0
-75.2,-75.13652358848042781337430808472599657678552665847081984313816772165941,-75.13652358848029,-75.13652358848044,-75.13652358848044,0.1500000000000000000000000000000000000000000000000000000008144846460084,0.1378133743080847259965767855266584708198431381677216594101637021492087,-0.01218662569191527400342321447334152918015686183227834059065078249679969,-0.01218662569191527400342321447334152918015686183227834059065078249679969,-75.19999999928595,-75.19999999999999,714.0399999999999999999999999999999999999999999999999999999998845565152,714.0499999999999999999999999999999999999999999999999999999999388554916,0.01000000000000000000000000000000000000000000000000000000005429897640056
-75.1,-75.03613414512887757863503491267288998174068031900885720517068558919573,-75.03613414512884,-75.03613414512887,-75.03613414512887,0.03000000000000000000000000000000000000000000000000000000016289692920168,0.03757863503491267288998174068031900885720517068558919573077088330080835,0.007578635034912672889981740680319008857205170685589195730607986371606663,0.007578635034912672889981740680319008857205170685589195730607986371606663,-75.09999999928148,-75.10000000000001,718.5299999999999999999999999999999999999999999999999999999999231315552,718.5199999999999999999999999999999999999999999999999999999998688325788,-0.01000000000000000000000000000000000000000000000000000000005429897640056
-75.0,-74.93574548382619941925552982742665272501462375301296018697274786252875,-74.93574548382614,-74.93574548382621,-74.93574548382621,0.07000000000000000000000000000000000000000000000000000000038009283480393,0.05941925552982742665272501462375301296018697274786252875036675682034579,-0.01058074447017257334727498537624698703981302725213747125001333601445814,-0.01058074447017257334727498537624698703981302725213747125001333601445814,-74.99999999927695,-74.99999999999999,723.040000000000000000000000000000000000000000000000000000000070304548,723.0500000000000000000000000000000000000000000000000000000001246035244,0.01000000000000000000000000000000000000000000000000000000005429897640056
-74.9,-74.83535760932378150828250723506277978057158013143480880540522303819073,-74.8353576093237,-74.83535760932378,-74.83535760932378,0.07999999999999999999999999999999999999999999999999999999927526488911467,0.08150828250723506277978057158013143480880540522303819073008832841629773,0.001508282507235062779780571580131434808805405223038190730813063527183056,0.001508282507235062779780571580131434808805405223038190730813063527183056,-74.89999999927247,-74.89999999999999,727.5200000000000000000000000000000000000000000000000000000000545806115,727.5300000000000000000000000000000000000000000000000000000001088795879,0.01000000000000000000000000000000000000000000000000000000005429897640056
-74.8,-74.73497052636323516104678670279037473755343889568235893213809700067155,-74.73497052636318,-74.73497052636324,-74.73497052636324,0.06000000000000000000000000000000000000000000000000000000032579385840337,0.05516104678670279037473755343889568235893213809700067155069911095769506,-0.004838953213297209625262446561104317641067861902999328449626682900708303,-0.004838953213297209625262446561104317641067861902999328449626682900708303,-74.79999999926797,-74.80000000000001,732.0400000000000000000000000000000000000000000000000000000002560525807,732.0300000000000000000000000000000000000000000000000000000002017536043,-0.01000000000000000000000000000000000000000000000000000000005429897640056
-74.7,-74.63458423967633630559514127860049299831836334379106945058554039974246,-74.63458423967627,-74.63458423967633,-74.63458423967633,0.05999999999999999999999999999999999999999999999999999999916666693631355,0.0663055951412786004929983183633437910694505855403997424600662662428987,0.006305595141278600492998318363343791069450585540399742460899599306585156,0.006305595141278600492998318363343791069450585540399742460899599306585156,-74.69999999926351,-74.70000000000002,736.5100000000000000000000000000000000000000000000000000000001860296679,736.4900000000000000000000000000000000000000000000000000000000774317151,-0.02000000000000000000000000000000000000000000000000000000010859795280112
-74.6,-74.53419875398496708235400879096329086735488310540372799179653708932952,-74.53419875398504,-74.53419875398495,-74.53419875398495,-0.08999999999999999999999999999999999999999999999999999999932956386551523,-0.07291764599120903670913264511689459627200820346291067047952662509378503,0.0170823540087909632908673548831054037279917965370893295198029387717302,0.0170823540087909632908673548831054037279917965370893295198029387717302,-74.59999999925903,-74.60000000000001,740.980000000000000000000000000000000000000000000000000000000116006755,740.9700000000000000000000000000000000000000000000000000000000617077786,-0.01000000000000000000000000000000000000000000000000000000005429897640056
-74.5,-74.43381407400105757377294978442257793747167010476906749258281418481261,-74.43381407400098,-74.43381407400106,-74.43381407400106,0.08000000000000000000000000000000000000000000000000000000043439181120449,0.07757377294978442257793747167010476906749258281418481260974318614144928,-0.002426227050215577422062528329895230932507417185815187390691205669755209,-0.002426227050215577422062528329895230932507417185815187390691205669755209,-74.49999999925457,-74.50000000000001,745.4399999999999999999999999999999999999999999999999999999999916848658,745.4299999999999999999999999999999999999999999999999999999999373858894,-0.01000000000000000000000000000000000000000000000000000000005429897640056
-74.4,-74.33343020442652766469368188536615315360645538598473794316116164338994,-74.33343020442649,-74.33343020442653,-74.33343020442653,0.04000000000000000000000000000000000000000000000000000000021719590560224,0.03766469368188536615315360645538598473794316116164338993967459298977637,-0.002335306318114633846846393544614015262056838838356610060542602915825871,-0.002335306318114633846846393544614015262056838838356610060542602915825871,-74.3999999992501,-74.4,749.8999999999999999999999999999999999999999999999999999999998673629765,749.8999999999999999999999999999999999999999999999999999999998673629765,0.0
